Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,Partner Category,Type,Hours,Day(s) of the Week,Dates,Link,Notes
Green City Market - West Loop,115 S Sangamon St,Mary Bartelme Park,Chicago,IL,60607,2615,COOK,-87.650452,41.879753,-87.650452,41.879753,Farm Direct,Farmers Market,8:00 am - 1:00 pm,Saturdays,May - November,https://www.greencitymarket.org/,
Green City Market Avondale,3031 N. Rockwell St,NA,Chicago,NA,60618,NA,COOK,-87.692851,41.93652052,-87.692851,41.93652052,Farm Direct,Farmers Market,8:00 am - 1:00 pm,Saturdays,Dec 3 - Mar 23 (*Closed on December 23 and 30),https://www.greencitymarket.org/,
Jo Daviess Local Foods,Online Farmers Market with delivery and various pick-up locations in Jo Daviess County,,,,,,,-90.267572,42.41064712,-90.267572,42.41064712,Farm Direct,CSA / Delivery,,,,https://jdlf.localfoodmarketplace.com/Index,Check website for pick-up locations and delivery options.
LEAF Food Hub,Online farmers market located in Southern Illinois,,,,,,,-89.2401089,37.72841774,-89.2401089,37.72841774,Farm Direct,Farmers Market,,,,https://www.leaffoodhub.com/,"Order: Friday - Tuesday, Pick up: Thursday @The Neighborhood Co-op"
Market 309 - Bradley University,1501 W Bradley Ave,,Peoria,IL,61605,,,-89.6166578,40.69699635,-89.6166578,40.69699635,Farm Direct,Farmers Market,3:00 pm - 5:00 pm,Fridays  ,,https://www.peoriagrown.com/market309,Open for all Bradley students during the school year.
Market 309 - Trewyn Park,2219 S Idaho St,NA,Peoria,IL,61605,3023,PEORIA,-89.640068,40.663059,-89.640068,40.663059,Farm Direct,Farmers Market,11:30 am - 1:00 pm,Sundays,,,
Plant Chicago Firehouse Market,4459 S Marshfield Ave,NA,Chicago,IL,60609,3148,COOK,-87.665955,41.812386,-87.665955,41.812386,Farm Direct,Farmers Market,11:00 am - 5:00 pm,Fridays and Saturdays,,https://www.plantchicago.org/,
Plant Chicago Indoor Market,4459 S Marshfield Ave,NA,Chicago,IL,60609,3148,COOK,-87.665955,41.812363,-87.665955,41.812363,Farm Direct,Farmers Market,11:00 am - 3:00 pm,3rd Saturday of the month,"Jan 20, Feb 17, Mar 16, Apr 20",https://www.plantchicago.org/farmers-market,
QC Farmers' Market,1700 1st Ave,NA,Rock Island,IL,61201,NA,ROCK ISLAND,-90.575996,41.512066,-90.575996,41.512066,Farm Direct,Farmers Market,8:00 am - 12:00 pm,Saturdays,,https://www.qcfarmersmarket.online/,
Rockford Midtown Market,502 7th St,NA,Rockford,IL,61104,1266,WINNEBAGO,-89.080444,42.262421,-89.080444,42.262421,Farm Direct,Farmers Market,9:00 am - 1:00 pm,1st Saturday of the month,"Nov 4, Dec 2, Jan 6, Feb 3, Mar 2",http://rockfordmidtownmarket.com/,
Star Farm - Store Front,5254 S Ashland Ave,NA,Chicago,IL,60609,5155,COOK,-87.64917,41.802647,-87.64917,41.802647,Farm Direct,Farmers Market,4:00 pm - 7:00 pm,Wednesdays,,,
Urban Canopy (LUCSA Winter Season),Weekly and Biweekly Deliveries,,,,,,,-87.68141959,41.84497177,-87.68141959,41.84497177,Farm Direct,CSA / Delivery,,,Jan 3 - Apr 19,https://www.theurbancanopy.org/winter-lucsa,Sign-ups for their winter LUCSA open through 12.22.2023!
West Town Health Market,2233 W. Division St ,,Chicago,IL,60622,,,-87.68294756,41.90224728,-87.68294756,41.90224728,Farm Direct,Farmers Market,12:00 pm - 4:00 pm,Thursdays,until December 21,,
Woodstock Farmers Market,"11900 Country Club Rd, Woodstock, IL 60098",McHenry County Fairgrounds,Woodstock,IL,60098,,,-88.43152163,42.31346121,-88.43152163,42.31346121,Farm Direct,Farmers Market,9:00 am - 1:00 pm,Saturdays,"Nov 4, 11, 18 | Dec 2, 9, 16, 23 | Jan 6, 20 | Feb 3, 17 | Mar 2, 16, 30 | Apr 13, 27 ",https://woodstockfarmersmarket.org/,
